Vertex,Label,CommunityID
124,fvieir,11
125,GustavoMenezes33,0
126,emanuelarcos,0
127,RaphaAlmeida,0
128,screamingandmore-cell,0
129,patrick2909,22
130,BezzerraJr,4
131,dgonzalez211,2
132,benjamimprofissional-web,6
133,Eiai-Solutions,14
134,devarsenal,14
135,guilhermemayrinkal,14
136,tam74k,14
137,dsnjunior,14
138,pelinche,14
139,thomasjeferssonvaz,14
140,cleberrafael,14
141,Samukaspc,8
142,bclickdigital,14
143,pedrocagb,14
144,ianmsfvenom,28
145,OussamaToumirt,29
146,matbn,15
147,leorchrds,15
148,LeonardoT07,0
149,vmssistemas,7
150,rcarnavalli,7
151,NathanMotoki,7
152,XmasterFaeu,7
153,matheuspoppl,7
154,josesapereira,7
155,RenildoChavezFlujolink,7
156,AlwaysPalaye,7
157,luizbp,7
158,MatheusMorais34,7
159,Dheyvidj,7
160,juniorxf,7
161,marcostaira,7
162,aibotforproject,7
163,flavio-r,7
164,josealissonbr,11
165,SuKuShaing,7
166,VictoOliv,7
167,CZERNOB0G,7
168,chelof100,7
169,oziresguisa-stack,7
170,cassiofjardim,30
171,anassnammal,30
172,Alfr3d022,7
173,Gabrielribeiroic,7
174,GuilhermeBotingnon,7
175,edson-martins,7
176,rudarecordsdemo-creator,7
177,mendoncart,7
178,Erlonidas,7
179,nickxs1,18
180,NathanMuniz,18
181,mateusrovedaa,18
182,Felip3Figueredo,14
183,amadeujunior18,14
184,uendelcomu,22
185,savinnsk,31
186,ianvirtualis-sudo,32
187,hehuanju,22
188,kawhedorgy,22
189,DumahBrazorf,22
190,Davi-AMF,26
191,ARMCardoso,18
192,marcelongf,22
193,rdelphino,16
194,asuma312,22
195,dkydivyansh,22
196,oademarlima,8
197,acacioegas,22
198,DiegoCostantino,22
199,thiagocalixtoo,7
200,rodrigobeber,33
201,futurahaus,24
202,EsauAlencar1,34
203,adhubmarketing,8
204,raffarossi,35
205,magnum1985,24
206,Jeffmartt,24
207,italotkh,24
208,lucasthompsonamg,24
209,valessiobrito,24
210,Lucasbrunoferreira,8
211,vitorbrrs,36
212,adrianokelvio,36
213,vaxjc,37
214,spotmkt,11
215,Indaiahub,11
216,Issami96,22
217,vgdss,11
218,Bru-noSouza,11
219,wlustosaadv,11
220,willoak,11
221,carlosadmjr,11
222,wolffeduardo,11
223,Tecnicasoft,11
224,joaops2305,11
225,lucassan94,11
226,py-danilopontes,22
227,andreteodoroalves,11
228,Edder097,11
229,gabrielcald,38
230,marinadilda,33
231,yuri12344,11
232,daisito,8
233,ldelvalleh,8
234,sectorres,8
235,OctavioB17,8
236,jcbsantos2015-code,8
237,MagaliL,8
238,Adilmar,8
239,danfelbm,8
240,luisitochavarria-bit,8
241,shsolutions,8
242,MRegit,8
243,WalissonPires,8
244,fabriciomoreirao,13
245,NascimentoRobsonSantos,13
246,JeromeNelsonC,13
247,MattCarneiro,10
248,anirudhbagri,8
249,DjotaHasse,8
250,diegobentes,8
251,srvictorbatista,8
252,B3rr2304,8
253,BodeDimitri,8
254,MuriloFernandesDev,8
255,brjorgedavid,8
256,LuizLobao,8
257,RafaelCardozo02,8
258,hiuryr,8
259,lfelizari,8
260,Emanuellefelix,8
261,mhanelia,8
262,VilasBoas23,8
263,luispimenta,8
264,ig0rayres,33
265,Miliotte,16
266,acelmec,33
267,JMedeiros17,39
268,vinimerida,40
269,andrefrancco,40
270,beliza0014,14
271,agenciabrvdd,15
272,GustavoMimim,7
273,danilodoc,7
274,jicasa03,7
275,geopreguica-a11y,7
276,fehhmont,7
277,rafahoff,7
278,Bluteco,41
279,yMelu,41
280,gcomartins,41
281,sandersonrps,41
