Vertex,Label,CommunityID,BridgingStrength,ConnectedCommunities
656,cardosoleandro,22,2.000000,2
757,thiagoomatheus,0,2.000000,3
762,Hatem-UrWave,31,2.000000,2
767,yLost,14,2.000000,2
777,Oivolari,17,2.000000,2
778,rubithedev,16,2.000000,2
798,albanirneves,0,2.000000,4
838,rafael-keller,33,2.000000,3
889,hyagonani,3,2.000000,2
898,UnDer-7,9,2.000000,2
952,MozanielPSC,3,2.000000,2
954,teovillanueva,0,2.000000,3
956,hericogimo,26,2.000000,2
973,BYMSA-DEX,10,2.000000,2
974,saulobborges,33,2.000000,2
991,Leonardo-cp-ai,10,2.000000,2
994,RSGestoria,10,2.000000,2
998,joaobibiano,3,2.000000,2
1062,socger,10,2.000000,2
1068,rodrigo-ogioni,6,2.000000,4
1084,HambaBersalah,6,2.000000,2
1090,jesserovira,10,2.000000,2
1128,anderecc,26,2.000000,2
1129,jhonwimo,7,2.000000,2
1147,vilsonnjr,6,2.000000,2
1149,erildobarone,33,2.000000,2
1151,jhonathanabreu,13,2.000000,2
1164,rafwell,17,2.000000,4
1169,EDSONN56,18,2.000000,2
1193,ViliNeto,23,2.000000,2
1239,ArielS1,18,2.000000,2
1240,kuncoroatmojo,24,2.000000,3
1275,autonom-ia,9,2.000000,2
1276,axonia-tools,2,2.000000,2
1289,tmsdesarrollo3,18,2.000000,2
1344,Bruno-Butzke,15,2.000000,2
1366,sergiodmcosta86,24,2.000000,2
1392,bparreira17,22,2.000000,2
1405,ViniciusLucas14,62,2.000000,4
1429,cedric-sd,26,2.000000,2
1445,hamzaa53,24,2.000000,2
1504,wagneralmandes,18,2.000000,2
1510,juancresc,6,2.000000,5
1571,jeanjonathas,13,2.000000,2
1572,rubslopes,13,2.000000,2
1587,nicholassantoss,13,2.000000,2
1625,acauaferreira,6,2.000000,2
1677,arnavgupta00,26,2.000000,2
1742,jonathancostajr,23,2.000000,2
1755,viniciusverasdossantos,10,2.000000,2
1896,MarecoX,23,2.000000,2
1885,theeusmartins,4,1.875000,5
52,andersonfelipev,17,1.800000,3
77,nolramaf,8,1.800000,3
438,BryanLucas7,4,1.800000,3
