Source,Target,Weight
DavidsonGomes,leonardoferreiradg,3.0
DavidsonGomes,Reikagilu,3.0
DavidsonGomes,alebraso,3.0
DavidsonGomes,spada23,3.0
DavidsonGomes,guilhermejansen,3.0
DavidsonGomes,iAm4badd0n,3.0
DavidsonGomes,iphoneconsult,3.0
DavidsonGomes,luan-nvg,3.0
DavidsonGomes,AleAmla987,3.0
DavidsonGomes,jaimenasser,3.0
DavidsonGomes,felipersteles,3.0
DavidsonGomes,jesulo,3.0
DavidsonGomes,Pbizado,3.0
DavidsonGomes,iamedusm,3.0
DavidsonGomes,matheus051004,3.0
DavidsonGomes,marcelo-candido,3.0
DavidsonGomes,theeusmartins,3.0
DavidsonGomes,GuianaStore,3.0
DavidsonGomes,erpwoosync,3.0
DavidsonGomes,zxtheuxz,3.0
DavidsonGomes,thexiox,3.0
DavidsonGomes,RuanMD,3.0
DavidsonGomes,Wibbox,3.0
DavidsonGomes,IgorFSSilva,3.0
DavidsonGomes,Feeh03114,3.0
DavidsonGomes,chetanshintre,9.0
DavidsonGomes,Franruaben11,3.0
DavidsonGomes,s-marques,3.0
DavidsonGomes,ip2cloud,3.0
DavidsonGomes,cowaleinc,3.0
DavidsonGomes,diego-lipinski-de-castro,3.0
DavidsonGomes,ViniciusLucas14,3.0
DavidsonGomes,claudiocorazza,3.0
DavidsonGomes,djalmaaraujo,3.0
DavidsonGomes,Matheus-Matta,3.0
DavidsonGomes,rodrigobg,3.0
DavidsonGomes,hmassareli,3.0
DavidsonGomes,Alex-HC2024,3.0
DavidsonGomes,hereck,3.0
DavidsonGomes,nilsonchagas,3.0
DavidsonGomes,ojauumdev,3.0
DavidsonGomes,devjn1998,3.0
DavidsonGomes,wylken,3.0
DavidsonGomes,imagine-pat,3.0
DavidsonGomes,Storedias,3.0
DavidsonGomes,alhaag,3.0
DavidsonGomes,hamzaa53,3.0
DavidsonGomes,jrvidotti,3.0
DavidsonGomes,modeldb-consultoria,3.0
DavidsonGomes,HPleite01,3.0
DavidsonGomes,marioirodrigues-dev,3.0
DavidsonGomes,MauMauRobert,3.0
DavidsonGomes,DanielSilvaol,6.0
DavidsonGomes,odirlon,3.0
DavidsonGomes,teovillanueva,3.0
DavidsonGomes,stuartffh,3.0
DavidsonGomes,uwe72,3.0
DavidsonGomes,Ryan03037,3.0
DavidsonGomes,abioluz,3.0
DavidsonGomes,joaosouz4dev,6.0
DavidsonGomes,renansko-vilela,5.0
DavidsonGomes,tukangparkir2008,3.0
DavidsonGomes,JeandersonR2,3.0
DavidsonGomes,michaelvips,3.0
DavidsonGomes,dsalvanhini,3.0
DavidsonGomes,johnnybs2,3.0
DavidsonGomes,SharkBounty,3.0
DavidsonGomes,DRIMOL,3.0
DavidsonGomes,BYMSA-DEX,3.0
DavidsonGomes,tiago18fap,3.0
DavidsonGomes,cleytoncoro,9.0
DavidsonGomes,smartscaile,3.0
DavidsonGomes,danilolimar,3.0
DavidsonGomes,dree4312,3.0
DavidsonGomes,Caous,3.0
DavidsonGomes,eTrinityE,3.0
DavidsonGomes,wagneralmandes,3.0
DavidsonGomes,jeanzulk,3.0
DavidsonGomes,Meicer10,3.0
DavidsonGomes,hillux2600,3.0
DavidsonGomes,juancresc,3.0
DavidsonGomes,Kaique-Grigoletto,12.0
DavidsonGomes,samuelterra22,4.0
DavidsonGomes,flpnascimento45,3.0
DavidsonGomes,MuriloAMiranda147,3.0
