Vertex,Label,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,PageRank
86,gustauobr,0.000233,0.000000,0.000839,0.000070
87,raphael0627f,0.000233,0.000000,0.000839,0.000070
88,marlonvinicius,0.001632,0.000099,0.002131,0.001114
89,lucascampuus,0.000699,0.000001,0.001888,0.000070
90,kasambr,0.000233,0.000000,0.000839,0.000070
91,DanielBelorini,0.000233,0.000000,0.000839,0.000070
92,cristiandigisat-hub,0.000233,0.000000,0.000839,0.000070
93,GustavoCPrado,0.000233,0.000000,0.000839,0.000070
94,elizeufranca,0.000233,0.000000,0.000839,0.000070
95,dujobi-contato,0.000233,0.000000,0.000839,0.000070
96,leonardomnds,0.000466,0.000000,0.001243,0.000070
97,srvelososantos,0.000233,0.000000,0.000839,0.000070
98,willDullius,0.000233,0.000000,0.000839,0.000070
99,LeonardoCostaCTN,0.000000,0.000000,0.000000,0.000070
100,asilvacijun,0.000466,0.000000,0.000000,0.000149
101,fafadexs1,0.000233,0.000000,0.000466,0.000070
102,hlspablo,0.000699,0.000000,0.011987,0.000070
103,DiegoSalvati,0.000932,0.000000,0.000000,0.000356
104,plalebtag,0.000233,0.000000,0.000466,0.000070
105,nadersommer,0.000233,0.000000,0.000466,0.000070
106,elciogiaretta-ops,0.002564,0.000105,0.001642,0.001111
107,AndersonVentin,0.000233,0.000000,0.001413,0.000070
108,leotramanda,0.000466,0.000000,0.001659,0.000070
109,jussimirvfx,0.000233,0.000000,0.001413,0.000070
110,marinaninin,0.000699,0.000000,0.001918,0.000070
111,RodrigoRosalin,0.000466,0.000000,0.001659,0.000070
112,FireGears,0.000233,0.000000,0.001413,0.000070
113,therodmg-source,0.000233,0.000000,0.000000,0.000130
114,msantosjader,0.000466,0.000000,0.000466,0.000070
115,myposty,0.000000,0.000000,0.000000,0.000070
116,GleisonOliveiraAds,0.000233,0.000000,0.000000,0.000095
117,luiscorsog,0.001632,0.000048,0.002428,0.000146
118,noratonegocios-ship-it,0.001399,0.000003,0.000466,0.000243
119,viivaz,0.002331,0.000049,0.002212,0.000233
120,AndreynBastos,0.000699,0.000000,0.001399,0.000070
121,Advfboliveira,0.000233,0.000000,0.000622,0.000070
122,vianahub-pt,0.001399,0.000000,0.000000,0.000367
123,C4stro,0.000466,0.000000,0.000932,0.000070
124,fvieir,0.000466,0.000000,0.001573,0.000070
125,GustavoMenezes33,0.000233,0.000000,0.000466,0.000070
126,emanuelarcos,0.000233,0.000000,0.000466,0.000070
127,RaphaAlmeida,0.000233,0.000000,0.000466,0.000070
128,screamingandmore-cell,0.000233,0.000000,0.000466,0.000070
129,patrick2909,0.000932,0.000000,0.000000,0.000356
130,BezzerraJr,0.001399,0.000000,0.010168,0.000070
131,dgonzalez211,0.000466,0.000000,0.001060,0.000070
132,benjamimprofissional-web,0.000233,0.000000,0.000466,0.000070
133,Eiai-Solutions,0.003030,0.000034,0.001925,0.000575
134,devarsenal,0.000233,0.000000,0.001705,0.000070
135,guilhermemayrinkal,0.000466,0.000000,0.003353,0.000070
136,tam74k,0.000233,0.000000,0.001705,0.000070
137,dsnjunior,0.000233,0.000000,0.001705,0.000070
138,pelinche,0.000233,0.000000,0.001705,0.000070
139,thomasjeferssonvaz,0.000466,0.000000,0.001888,0.000070
140,cleberrafael,0.000233,0.000000,0.001705,0.000070
141,Samukaspc,0.000466,0.000000,0.002105,0.000070
142,bclickdigital,0.000233,0.000000,0.001705,0.000070
143,pedrocagb,0.000233,0.000000,0.001705,0.000070
144,ianmsfvenom,0.000000,0.000000,0.000000,0.000070
145,OussamaToumirt,0.000233,0.000000,0.000466,0.000070
146,matbn,0.000466,0.000000,0.000000,0.000129
147,leorchrds,0.000466,0.000000,0.001049,0.000070
148,LeonardoT07,0.000233,0.000000,0.000746,0.000070
149,vmssistemas,0.006061,0.000114,0.000746,0.001831
150,rcarnavalli,0.000466,0.000000,0.001049,0.000070
151,NathanMotoki,0.000233,0.000000,0.000777,0.000070
152,XmasterFaeu,0.000233,0.000000,0.000777,0.000070
153,matheuspoppl,0.000466,0.000000,0.001049,0.000070
154,josesapereira,0.000233,0.000000,0.000777,0.000070
155,RenildoChavezFlujolink,0.000233,0.000000,0.000777,0.000070
156,AlwaysPalaye,0.000233,0.000000,0.000777,0.000070
157,luizbp,0.000932,0.000000,0.001888,0.000070
158,MatheusMorais34,0.000233,0.000000,0.000777,0.000070
159,Dheyvidj,0.000233,0.000000,0.000777,0.000070
160,juniorxf,0.000466,0.000000,0.001049,0.000070
161,marcostaira,0.000233,0.000000,0.000777,0.000070
162,aibotforproject,0.000233,0.000000,0.000777,0.000070
163,flavio-r,0.000233,0.000000,0.000777,0.000070
164,josealissonbr,0.000466,0.000000,0.001428,0.000070
165,SuKuShaing,0.000233,0.000000,0.000777,0.000070
166,VictoOliv,0.000233,0.000000,0.000777,0.000070
167,CZERNOB0G,0.000233,0.000000,0.000777,0.000070
168,chelof100,0.000233,0.000000,0.000777,0.000070
169,oziresguisa-stack,0.000233,0.000000,0.000777,0.000070
170,cassiofjardim,0.000233,0.000000,0.000000,0.000129
171,anassnammal,0.000233,0.000000,0.000466,0.000070
172,Alfr3d022,0.001632,0.000000,0.000000,0.000426
173,Gabrielribeiroic,0.000233,0.000000,0.000466,0.000070
174,GuilhermeBotingnon,0.000233,0.000000,0.000466,0.000070
175,edson-martins,0.000233,0.000000,0.000466,0.000070
176,rudarecordsdemo-creator,0.000233,0.000000,0.000466,0.000070
177,mendoncart,0.000466,0.000000,0.000932,0.000070
178,Erlonidas,0.000233,0.000000,0.000466,0.000070
179,nickxs1,0.000932,0.000000,0.000000,0.000213
180,NathanMuniz,0.000233,0.000000,0.000466,0.000070
181,mateusrovedaa,0.000233,0.000000,0.000466,0.000070
182,Felip3Figueredo,0.000699,0.000000,0.000000,0.000179
183,amadeujunior18,0.000233,0.000000,0.000466,0.000070
184,uendelcomu,0.000699,0.000000,0.002575,0.000070
185,savinnsk,0.000466,0.000000,0.000932,0.000070
186,ianvirtualis-sudo,0.000000,0.000000,0.000000,0.000070
187,hehuanju,0.002331,0.000000,0.000000,0.000699
188,kawhedorgy,0.000233,0.000000,0.000466,0.000070
189,DumahBrazorf,0.000233,0.000000,0.000466,0.000070
190,Davi-AMF,0.001399,0.000009,0.004414,0.000149
191,ARMCardoso,0.001166,0.000001,0.000466,0.000249
192,marcelongf,0.000233,0.000000,0.000466,0.000070
193,rdelphino,0.000466,0.000000,0.000932,0.000070
194,asuma312,0.000466,0.000000,0.000932,0.000070
195,dkydivyansh,0.000233,0.000000,0.000466,0.000070
196,oademarlima,0.000466,0.000000,0.002406,0.000070
197,acacioegas,0.000466,0.000000,0.002005,0.000070
198,DiegoCostantino,0.000466,0.000000,0.002131,0.000070
199,thiagocalixtoo,0.000466,0.000000,0.002131,0.000070
200,rodrigobeber,0.000932,0.000005,0.001523,0.000210
201,futurahaus,0.000233,0.000000,0.000000,0.000085
202,EsauAlencar1,0.000000,0.000000,0.000000,0.000070
203,adhubmarketing,0.000233,0.000000,0.000699,0.000070
204,raffarossi,0.000000,0.000000,0.000000,0.000070
205,magnum1985,0.001399,0.000000,0.000000,0.000323
206,Jeffmartt,0.000233,0.000000,0.000466,0.000070
207,italotkh,0.000233,0.000000,0.000466,0.000070
208,lucasthompsonamg,0.000233,0.000000,0.000466,0.000070
209,valessiobrito,0.000466,0.000000,0.001066,0.000070
210,Lucasbrunoferreira,0.001399,0.000005,0.002486,0.000181
211,vitorbrrs,0.000233,0.000000,0.000000,0.000129
212,adrianokelvio,0.000233,0.000000,0.000466,0.000070
213,vaxjc,0.000000,0.000000,0.000000,0.000070
214,spotmkt,0.004662,0.000035,0.000622,0.001306
215,Indaiahub,0.000233,0.000000,0.000699,0.000070
216,Issami96,0.000466,0.000000,0.001945,0.000070
217,vgdss,0.000233,0.000000,0.000699,0.000070
218,Bru-noSouza,0.000233,0.000000,0.000699,0.000070
219,wlustosaadv,0.000233,0.000000,0.000699,0.000070
220,willoak,0.000233,0.000000,0.000699,0.000070
221,carlosadmjr,0.000233,0.000000,0.000699,0.000070
222,wolffeduardo,0.000233,0.000000,0.000699,0.000070
223,Tecnicasoft,0.000233,0.000000,0.000699,0.000070
224,joaops2305,0.000233,0.000000,0.000699,0.000070
225,lucassan94,0.000233,0.000000,0.000699,0.000070
226,py-danilopontes,0.000466,0.000000,0.001945,0.000070
227,andreteodoroalves,0.000233,0.000000,0.000699,0.000070
228,Edder097,0.000233,0.000000,0.000699,0.000070
229,gabrielcald,0.000000,0.000000,0.000000,0.000070
230,marinadilda,0.000233,0.000000,0.000000,0.000152
231,yuri12344,0.001865,0.000008,0.001457,0.000290
232,daisito,0.003730,0.000003,0.000466,0.000742
233,ldelvalleh,0.000466,0.000000,0.000932,0.000070
234,sectorres,0.000233,0.000000,0.000622,0.000070
235,OctavioB17,0.000233,0.000000,0.000622,0.000070
236,jcbsantos2015-code,0.000233,0.000000,0.000622,0.000070
237,MagaliL,0.000233,0.000000,0.000622,0.000070
238,Adilmar,0.000233,0.000000,0.000622,0.000070
239,danfelbm,0.000466,0.000000,0.001049,0.000070
240,luisitochavarria-bit,0.000233,0.000000,0.000622,0.000070
241,shsolutions,0.000233,0.000000,0.000622,0.000070
242,MRegit,0.000233,0.000000,0.000622,0.000070
243,WalissonPires,0.000233,0.000000,0.000622,0.000070
244,fabriciomoreirao,0.000466,0.000047,0.000622,0.000563
245,NascimentoRobsonSantos,0.000233,0.000000,0.000622,0.000070
246,JeromeNelsonC,0.000233,0.000000,0.000622,0.000070
247,MattCarneiro,0.004662,0.000470,0.018187,0.000282
248,anirudhbagri,0.003263,0.000000,0.000000,0.001790
249,DjotaHasse,0.000233,0.000000,0.000466,0.000070
250,diegobentes,0.000233,0.000000,0.000466,0.000070
251,srvictorbatista,0.001166,0.000001,0.001943,0.000071
252,B3rr2304,0.000233,0.000000,0.000466,0.000070
253,BodeDimitri,0.000466,0.000000,0.000932,0.000070
254,MuriloFernandesDev,0.000233,0.000000,0.000466,0.000070
255,brjorgedavid,0.000233,0.000000,0.000466,0.000070
256,LuizLobao,0.002098,0.000000,0.000000,0.000444
257,RafaelCardozo02,0.000233,0.000000,0.000466,0.000070
258,hiuryr,0.000233,0.000000,0.000466,0.000070
259,lfelizari,0.000233,0.000000,0.000466,0.000070
260,Emanuellefelix,0.000233,0.000000,0.000466,0.000070
261,mhanelia,0.000466,0.000000,0.000932,0.000070
262,VilasBoas23,0.000233,0.000000,0.000466,0.000070
263,luispimenta,0.001399,0.000000,0.004873,0.000070
264,ig0rayres,0.000932,0.000001,0.000466,0.000189
265,Miliotte,0.000466,0.000000,0.001049,0.000070
266,acelmec,0.000233,0.000000,0.000622,0.000070
267,JMedeiros17,0.000000,0.000000,0.000000,0.000070
268,vinimerida,0.000233,0.000000,0.000000,0.000129
269,andrefrancco,0.000233,0.000000,0.000466,0.000070
270,beliza0014,0.000233,0.000000,0.000466,0.000070
271,agenciabrvdd,0.000932,0.000001,0.000466,0.000199
272,GustavoMimim,0.001632,0.000000,0.000000,0.000412
273,danilodoc,0.000233,0.000000,0.000466,0.000070
274,jicasa03,0.000233,0.000000,0.000466,0.000070
275,geopreguica-a11y,0.000233,0.000000,0.000466,0.000070
276,fehhmont,0.000233,0.000000,0.000466,0.000070
277,rafahoff,0.000233,0.000000,0.000466,0.000070
278,Bluteco,0.000699,0.000000,0.000000,0.000248
279,yMelu,0.000233,0.000000,0.000466,0.000070
280,gcomartins,0.000233,0.000000,0.000466,0.000070
281,sandersonrps,0.000233,0.000000,0.000466,0.000070
282,brunoadspro,0.001166,0.000000,0.000000,0.000283
283,oferrariai,0.000233,0.000000,0.000466,0.000070
284,uzieljr,0.000699,0.000000,0.001492,0.000070
285,RamonRodSou,0.000233,0.000000,0.000466,0.000070
286,Thuglife22741,0.000233,0.000000,0.000466,0.000070
287,GustavoNevez,0.000699,0.000000,0.000000,0.000159
288,danielkv,0.000932,0.000000,0.002769,0.000070
289,jheissonn,0.000233,0.000000,0.000466,0.000070
290,FilippiAraujo,0.000932,0.000000,0.001943,0.000070
291,sebastianxy,0.001632,0.000000,0.000000,0.000402
292,juniorcastr,0.000233,0.000000,0.000466,0.000070
293,Aurelianny,0.000233,0.000000,0.000466,0.000070
294,bmoweb,0.000233,0.000000,0.000466,0.000070
295,Marcusluca,0.000699,0.000000,0.001399,0.000070
296,rbarcelo,0.000233,0.000000,0.000466,0.000070
297,MatheusLedstar,0.000233,0.000000,0.000622,0.000070
298,shorvelyn,0.002564,0.000000,0.000000,0.000545
299,saviosprinty,0.000233,0.000000,0.000466,0.000070
300,lostmga,0.000466,0.000000,0.001060,0.000070
301,HameXAcademy,0.000233,0.000000,0.000466,0.000070
302,lobx13,0.000466,0.000000,0.000932,0.000070
303,Alemar10,0.000233,0.000000,0.000466,0.000070
304,fcperez96,0.000466,0.000000,0.000932,0.000070
305,juliocamargo10,0.000233,0.000000,0.000466,0.000070
306,luiz10leite-glitch,0.000466,0.000000,0.000466,0.000085
307,Riders004,0.000000,0.000000,0.000000,0.000070
308,fernandosegrr,0.001166,0.000000,0.000000,0.000298
309,mjhidalgo,0.000233,0.000000,0.000466,0.000070
310,Gatelli1993,0.000233,0.000000,0.000466,0.000070
311,caesar621,0.000233,0.000000,0.000466,0.000070
312,CristianPG-FME,0.000466,0.000000,0.000000,0.000137
313,grupale,0.001865,0.000000,0.003730,0.000070
314,rmogro,0.000233,0.000000,0.000466,0.000070
315,amacfe-ui,0.001632,0.000000,0.000000,0.000442
316,GusMartins499,0.000233,0.000000,0.000466,0.000070
317,gkp1,0.006760,0.000168,0.003315,0.001323
318,allan-outside,0.000699,0.000000,0.001399,0.000070
319,segeletron,0.000233,0.000000,0.000466,0.000070
320,BootecoBOot,0.007925,0.000000,0.000000,0.002039
321,ONinguem,0.000233,0.000000,0.000466,0.000070
322,kenneson,0.000932,0.000000,0.001865,0.000070
323,rodrigodsluz,0.000233,0.000000,0.000466,0.000070
324,lucaspmaiadev-gif,0.000233,0.000000,0.000466,0.000070
325,adrianobraz,0.000233,0.000000,0.000466,0.000070
326,Allvasc,0.000233,0.000000,0.000466,0.000070
327,lcmouras,0.000233,0.000000,0.000466,0.000070
328,MANINtecn,0.000233,0.000000,0.000466,0.000070
329,victor-hdgomes,0.000233,0.000000,0.000466,0.000070
330,goldfypro-debug,0.000233,0.000000,0.000466,0.000070
331,viniciusguardaa-cpu,0.000233,0.000000,0.000466,0.000070
332,Jotamtcoisa,0.000233,0.000000,0.000466,0.000070
333,renatom3ndes,0.000233,0.000000,0.000466,0.000070
334,placidodaniel,0.000466,0.000000,0.000932,0.000070
335,marciobele,0.000233,0.000000,0.000466,0.000070
336,pinheirorangel89-art,0.000233,0.000000,0.000466,0.000070
337,masterkachu,0.000233,0.000000,0.000466,0.000070
338,conectoutsourcing,0.000233,0.000000,0.000466,0.000070
339,felipepiton,0.001399,0.000002,0.000932,0.000255
340,romariouba,0.000699,0.000000,0.000932,0.000090
341,victor-azevedo,0.000233,0.000000,0.000466,0.000070
342,lucasevss,0.000233,0.000000,0.000466,0.000070
343,aguga491,0.000233,0.000000,0.000466,0.000070
344,julioantunes-ti,0.000699,0.000000,0.000932,0.000129
345,tiosam21,0.000233,0.000000,0.000466,0.000070
346,danielmatiello,0.000233,0.000000,0.000466,0.000070
347,ArildoMello,0.000233,0.000000,0.000466,0.000070
348,karlosgaldino,0.000233,0.000000,0.000466,0.000070
349,quatroventos,0.000233,0.000000,0.000466,0.000070
350,previdprocessos-hashch,0.000932,0.000001,0.000466,0.000248
351,emretaskiran1,0.000233,0.000000,0.000622,0.000070
352,mkfyasar,0.000233,0.000000,0.000622,0.000070
353,Joao-Guthembergue,0.000233,0.000000,0.000622,0.000070
354,Matheus-develope,0.005594,0.000000,0.000000,0.001169
355,imaginelabpy-code,0.000699,0.000005,0.000932,0.000233
356,pauloanalista,0.000233,0.000000,0.000466,0.000070
357,LuisGuilhermeRampaso,0.000466,0.000000,0.001382,0.000070
358,machoalfastore01-ai,0.000233,0.000000,0.000466,0.000070
359,andreysuprano,0.000699,0.000000,0.001575,0.000070
360,FinPartner,0.000466,0.000000,0.001382,0.000070
361,souwilliamdiassilva,0.000233,0.000000,0.000466,0.000070
362,thiago-audithorium,0.000466,0.000000,0.000932,0.000070
363,andersonlkll,0.000233,0.000000,0.000466,0.000070
364,gabrielfelipeslv,0.000233,0.000000,0.000466,0.000070
365,MarcoLopezf,0.000233,0.000000,0.000466,0.000070
366,gustavo-lg,0.000233,0.000000,0.000466,0.000070
367,g-solis,0.000233,0.000000,0.000466,0.000070
368,cleprog-co,0.000233,0.000000,0.000466,0.000070
369,allefrodrigo,0.000466,0.000000,0.002166,0.000070
370,Feeh03114,0.002098,0.000005,0.001492,0.000308
371,marcoantoniofassa,0.000233,0.000000,0.000466,0.000070
372,flashanalytics-felipeaguiar,0.002564,0.000000,0.000000,0.000560
373,PhyBruno,0.001865,0.000029,0.002331,0.000176
374,thiagoaaragao,0.000233,0.000000,0.000466,0.000070
375,Fhelyp,0.000233,0.000000,0.000466,0.000070
376,DeNiNhOoO,0.000466,0.000000,0.001382,0.000070
377,thiagobrst,0.000233,0.000000,0.000466,0.000070
378,vitorgomespro,0.000233,0.000000,0.000466,0.000070
379,lucasgsalmeida,0.000466,0.000000,0.000932,0.000070
380,gustavosouzalima,0.000233,0.000000,0.000466,0.000070
381,lucasmassarosimoes,0.000233,0.000000,0.000466,0.000070
382,lucaskreich,0.000466,0.000000,0.001382,0.000070
383,renatogava,0.000233,0.000000,0.001199,0.000070
384,alexsandroluz,0.000233,0.000000,0.001199,0.000070
385,BeOnTech01,0.000233,0.000000,0.001199,0.000070
386,medinavs,0.000233,0.000000,0.001199,0.000070
387,brunomond,0.000000,0.000000,0.000000,0.000070
388,rdmalves87,0.000233,0.000000,0.000000,0.000100
389,nachotdl,0.000932,0.000000,0.000000,0.000265
390,antoniogsouzaag,0.000466,0.000000,0.000932,0.000070
391,imapproved,0.000233,0.000000,0.000466,0.000070
392,vitorhfcastro,0.000000,0.000000,0.000000,0.000070
393,maikelagm,0.000000,0.000000,0.000000,0.000070
394,massimorm,0.000233,0.000000,0.000000,0.000100
395,arthurbrenno,0.000466,0.000000,0.003017,0.000070
396,B3t4C0d3,0.000233,0.000000,0.000000,0.000100
397,pbm94,0.000000,0.000000,0.000000,0.000070
398,celestinofjanuario-ctrl,0.000233,0.000000,0.000000,0.000100
399,kunumigab,0.000466,0.000000,0.001840,0.000070
400,hereck,0.003730,0.000176,0.006389,0.000790
401,sutidor,0.000000,0.000000,0.000000,0.000070
402,Victorcassiano,0.000699,0.000000,0.000932,0.000100
403,abdelrhmanfawzym,0.001399,0.000004,0.001243,0.000249
404,Cranbaerry,0.000466,0.000001,0.001060,0.000070
405,GTMoraes,0.000466,0.000000,0.001632,0.000070
406,lucasguzo,0.000466,0.000000,0.001755,0.000070
407,zurielamorim,0.000233,0.000000,0.001060,0.000070
408,r0usis,0.000000,0.000000,0.000000,0.000070
409,mikekiroz,0.000233,0.000000,0.000000,0.000195
410,fluintech,0.000000,0.000000,0.000000,0.000070
411,jonathanpog98,0.001399,0.000000,0.010061,0.000070
412,RelaxSolucoes,0.003263,0.000000,0.000000,0.000767
413,estebanlis,0.000233,0.000000,0.000466,0.000070
414,mahdihaghnegar,0.000233,0.000000,0.000466,0.000070
415,willph,0.000233,0.000000,0.000466,0.000070
416,isaqueipromotora,0.000233,0.000000,0.000466,0.000070
417,Brandevtech,0.000233,0.000000,0.000466,0.000070
418,flavioxx,0.000233,0.000000,0.000466,0.000070
419,menezesvitoria1502-art,0.000466,0.000000,0.000932,0.000070
420,mpacheco92,0.000466,0.000000,0.000466,0.000077
421,Jadsonps-dev,0.000233,0.000000,0.000466,0.000070
422,carvalho7976,0.000233,0.000000,0.000466,0.000070
423,redequeroimoveis,0.000233,0.000000,0.000466,0.000070
424,jasplink-spec,0.000000,0.000000,0.000000,0.000070
425,ewanly,0.000000,0.000000,0.000000,0.000070
426,sidneyfmeco,0.000233,0.000000,0.000000,0.000129
427,FCanedo90,0.000233,0.000000,0.000466,0.000070
428,guia-livre,0.001166,0.000000,0.000000,0.000333
429,viniciusferreira-sys,0.000233,0.000000,0.000466,0.000070
430,hernandesbylara,0.000466,0.000000,0.000932,0.000070
431,miguelbispo,0.000233,0.000000,0.000466,0.000070
432,Vinn4k,0.000233,0.000000,0.000466,0.000070
433,tvieirabruna,0.000000,0.000000,0.000000,0.000070
434,DanielSilvaol,0.007459,0.000136,0.002454,0.001070
435,forwardbridgefw-stack,0.000699,0.000000,0.008340,0.000070
436,metrifiquese-spec,0.000233,0.000000,0.001880,0.000070
437,luizcw,0.001399,0.000000,0.009327,0.000070
438,BryanLucas7,0.001166,0.000000,0.004469,0.000070
439,cadukiz,0.000233,0.000000,0.001880,0.000070
440,ejferrazzongit,0.000233,0.000000,0.001880,0.000070
441,JefersonRamos,0.000932,0.000004,0.003471,0.000085
442,dlc-letelier,0.000699,0.000000,0.003433,0.000070
443,leonardolessa,0.000466,0.000000,0.002166,0.000070
444,Pedreiros22,0.001166,0.000000,0.000000,0.000284
445,hugoinsider,0.000233,0.000000,0.000466,0.000070
446,santosgalahack,0.000233,0.000000,0.000466,0.000070
447,davidreis90-spec,0.000233,0.000000,0.000466,0.000070
448,adolfosp,0.000233,0.000000,0.000000,0.000129
449,JuniorBods,0.000233,0.000000,0.000466,0.000070
450,RaFaeL-Cunha,0.000466,0.000000,0.001880,0.000070
451,abioluz,0.001632,0.000076,0.002315,0.000516
452,AlejoTorres2001,0.001865,0.000020,0.001876,0.000367
453,renansko-vilela,0.001166,0.000006,0.002125,0.000189
454,fredericoalvesmoreira2025,0.000000,0.000000,0.000000,0.000070
455,JeandersonR2,0.001399,0.000010,0.001526,0.000214
456,michaelvips,0.003030,0.000017,0.007091,0.000189
457,tobiasbenkner,0.000233,0.000000,0.000466,0.000070
458,netoduwe,0.000000,0.000000,0.000000,0.000070
459,pedrosantosredefacil,0.000000,0.000000,0.000000,0.000070
460,Droid0123,0.000000,0.000000,0.000000,0.000070
461,sluy,0.003497,0.000000,0.000000,0.000671
462,cleytoncoro,0.003730,0.000178,0.011522,0.000310
463,joaovcoliveira,0.001632,0.000004,0.001399,0.000245
464,KokeroO,0.002797,0.000025,0.014949,0.000085
465,RamonSouza96,0.000233,0.000000,0.000466,0.000070
466,daniel-eder,0.000233,0.000000,0.000466,0.000070
467,juniortopanotti,0.000932,0.000000,0.002955,0.000070
468,pedroarthuralvesdeoliveira,0.000466,0.000000,0.001243,0.000070
